ID,Latitud,Longitud,Fecha_Rastreo,Fecha_Referencia,Altura_Elipsoidal
1,4.095843342,-76.190723123,10/04/2020,01/01/2018,21.432
2,4.092843241,-76.187912312,03/03/2020,01/01/2018,14.231
3,4.100343241,-76.191231231,09/02/2020,01/01/2018,23.432
4,4.096231244,-76.190912312,02/08/2020,01/01/2018,13.342
5,4.092823123,-76.187812312,08/03/2020,01/01/2018,11.342
6,4.132123123,-76.187131313,01/08/2020,01/01/2018,12.123
7,4.231231232,-76.117123213,04/06/2020,01/01/2018,23.342
8,4.324324312,-76.112312312,05/07/2020,01/01/2018,13.131
9,4.213213211,-76.181233142,04/01/2020,01/01/2018,32.675
10,4.123211212,-76.342342343,02/02/2020,01/01/2018,45.853
