ID,Norte,Este,Fecha_Rastreo,Fecha_Referencia,Altura_Elipsoidal
1,1093593.619,5339306.678,10/04/2020,01/01/2018,10.231
2,2075809.207,4885187.515,03/03/2020,01/01/2018,13.122
3,1704976.636,4668818.971,09/02/2020,01/01/2018,14.132
4,2615051.085,4963784.759,02/08/2020,01/01/2018,13.231
5,2037169.461,4959871.467,08/03/2020,01/01/2018,26.231
6,1984614.068,5566170.658,01/08/2020,01/01/2018,54.212
7,1842399.542,5039978.585,04/06/2020,01/01/2018,12.123
8,2011618.391,5012859.742,05/07/2020,01/01/2018,23.123
9,1634368.175,4598933.296,04/01/2020,01/01/2018,12.123
10,1696809.973,5307684.258,02/02/2020,01/01/2018,12.123
