ID,Norte,Este,Fecha_Rastreo,Fecha_Referencia,Altura_Elipsoidal
1,953212.807,905956.299,10/04/2020,01/01/2018,13.231
2,993728.272,966095.352,03/03/2020,01/01/2018,31.231
3,1023625.778,925557.711,09/02/2020,01/01/2018,24.234
4,1009581.403,970520.723,02/08/2020,01/01/2018,53.323
5,1009596.504,989382.688,08/03/2020,01/01/2018,12.432
6,1027871.932,988388.172,01/08/2020,01/01/2018,23.231
7,959819.974,970560.174,04/06/2020,01/01/2018,32.321
8,980856.851,965301.452,05/07/2020,01/01/2018,23.235
9,980112.176,982259.515,04/01/2020,01/01/2018,32.232
10,990475.934,980098.629,02/02/2020,01/01/2018,32.543
